,entryId,content,date,entryUrl,type,favoriteCount,issueTitle,issueUrl,authorId,authorName,authorUrl,authorAvatar
0,138208287.0,netflix türkiye tarafından yapılacağı söyleniyor. şu an sadece piyasada konuşuluyor daha resmi açıklama yok.,2022-06-01 20:58:00,https:/www.eksisozluk.com/entry/138208287,entry,1.0,aselsan mühendislerinin hayatının dizi olması,https:/www.eksisozluk.com/aselsan-muhendislerinin-hayatinin-dizi-olmasi--7292715,1887103.0,istebuarimaya,https:/www.eksisozluk.com/biri/istebuarimaya,https://img.ekstat.com/profiles/istebuarimaya-637769090430905818.jpg
2,,(bkz: aselsan mühendislerinin şüpheli ölümleri),,,,,,,,,,
3,138208485.0,milliyetçilik adı altında vıcık vıcık propaganda yapmazlarsa anlamlı proje.,2022-06-01 21:03:00,https:/www.eksisozluk.com/entry/138208485,entry,1.0,aselsan mühendislerinin hayatının dizi olması,https:/www.eksisozluk.com/aselsan-muhendislerinin-hayatinin-dizi-olmasi--7292715,2389107.0,woo,https:/www.eksisozluk.com/biri/woo,https://ekstat.com/img/default-profile-picture-light.svg
4,138208510.0,netflix mi? allah düşürmesin.,2022-06-01 21:04:00,https:/www.eksisozluk.com/entry/138208510,entry,1.0,aselsan mühendislerinin hayatının dizi olması,https:/www.eksisozluk.com/aselsan-muhendislerinin-hayatinin-dizi-olmasi--7292715,1554027.0,yedinci element,https:/www.eksisozluk.com/biri/yedinci-element,https://ekstat.com/img/default-profile-picture-light.svg
5,138208631.0,"tahminim mühendislerden birini eşcinsel, diğerini de zenci yaparlar.",2022-06-01 21:06:00,https:/www.eksisozluk.com/entry/138208631,entry,2.0,aselsan mühendislerinin hayatının dizi olması,https:/www.eksisozluk.com/aselsan-muhendislerinin-hayatinin-dizi-olmasi--7292715,1992831.0,mynameisfreedom,https:/www.eksisozluk.com/biri/mynameisfreedom,https://img.ekstat.com/profiles/mynameisfreedom-637464841750280615.jpg
6,135344087.0,"""pakistan bayrağının hilal ve yıldızı, aydınlığa ve mükemmelliğe yol gösterir."" şeklindeki paylaşımdır.",2022-03-24 14:42:00,https:/www.eksisozluk.com/entry/135344087,entry,1.0,24 mart 2022 aselsan paylaşımı,https:/www.eksisozluk.com/24-mart-2022-aselsan-paylasimi--7217062,1904181.0,trockist kedi,https:/www.eksisozluk.com/biri/trockist-kedi,https://img.ekstat.com/profiles/trockist-kedi-638437208961135519.jpg
8,,çok acayip,,,,,,,,,,
9,135344133.0,bizim bayrak neyi gösteriyormuş peki,2022-03-24 14:43:00,https:/www.eksisozluk.com/entry/135344133,entry,3.0,24 mart 2022 aselsan paylaşımı,https:/www.eksisozluk.com/24-mart-2022-aselsan-paylasimi--7217062,1168370.0,ltdsti,https:/www.eksisozluk.com/biri/ltdsti,https://img.ekstat.com/profiles/ltdsti-636536789224688276.jpg
10,135345676.0,bunda bir sakınca yok da... keşke afganlarla yola koyulup türkiye'ye geleceklerine aydınlığa ve mükemmelliyete ulaştıran bayrak altında kalsalar ya o zaman diyesim geldi.,2022-03-24 15:25:00,https:/www.eksisozluk.com/entry/135345676,entry,1.0,24 mart 2022 aselsan paylaşımı,https:/www.eksisozluk.com/24-mart-2022-aselsan-paylasimi--7217062,1690254.0,civizi,https:/www.eksisozluk.com/biri/civizi,https://img.ekstat.com/profiles/civizi-637406969882223670.jpg
11,135345763.0,(bkz: grape),2022-03-24 15:28:00,https:/www.eksisozluk.com/entry/135345763,entry,0.0,24 mart 2022 aselsan paylaşımı,https:/www.eksisozluk.com/24-mart-2022-aselsan-paylasimi--7217062,2207408.0,borayds,https:/www.eksisozluk.com/biri/borayds,https://img.ekstat.com/profiles/borayds-637776347978137143.jpg
